Archetype,CommName,SciName,SpeciesCat,SpeciesCatName,Year,Catch,Price,region_name,IdOrig
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2011.0,1713.28,1231.9403553719058,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2012.0,1494.87,1332.4470134976625,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2013.0,1050.71,1342.691334727918,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Soft bottom,Mullet (Kapak),Mugilidae,33,Misc. coastal fishes,2014.0,1446.5,1270.529161083445,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Mullet (Kapak)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2002.0,414.0,657.4090747308187,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2003.0,830.0,578.6003597415026,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2004.0,903.29,529.560146445852,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2005.0,796.01,508.35373211592133,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2006.0,915.86,682.5658569651845,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2007.0,1160.29,764.0882718458167,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2008.0,1324.51,755.3321488684913,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2009.0,1684.14,807.052891678542,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
Hard bottom,Parrot fish (Loro),Scaridae,33,Misc. coastal fishes,2010.0,1831.6299999999999,765.4719978336386,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Parrot fish (Loro)
